"Reference","Value","Qty"
"C1,C2,C3,C4,C5,C6,C21,C22,C23,C24","0.1u","10"
"C7,C8","100uF","2"
"C9","220pF","1"
"C10,C11,C12,C13","10uF","4"
"C14,C15","470uF","2"
"C16,C17","Value=22uF","2"
"C18","Value=10nF","1"
"C19,C20","Value=33uF Rser=350m","2"
"D1","LED","1"
"D2,D3,D4,D8","1N4004","4"
"D5,D6,D7","B80C3x00-2200A","3"
"H1,H3,H6","~","3"
"HS1","Heatsink","1"
"J1,J2,J3,J4","Conn_Coaxial_Small","4"
"J5,J6,J21","220vac","3"
"J7,J8,J15,J17","SEC","4"
"J9","TOS Board","1"
"J10","Rotary Enc","1"
"J11","IR Sensor","1"
"J12","LCD","1"
"J13","DAC Board","1"
"J14","Amanero board","1"
"J16","UART to RPI4","1"
"J19","Muted out L","1"
"J20","Muted out R","1"
"JP1","open_if_u13_installed","1"
"K1,K2","G6S-2","2"
"L1","8.2uH","1"
"Q1,Q3,Q4","BC547","3"
"Q2","BS170","1"
"R1,R4,R9","1K","3"
"R2,R10,R11,R12,R13,R14,R15,R16,R17,R18","10K","10"
"R3,R5,R6","100R","3"
"R7","300R","1"
"R8","470R","1"
"R19","90.9K","1"
"R20,R21","10k","2"
"R22","100k","1"
"R23","0R","1"
"SW1","RotaryEncoder_Switch","1"
"T1","6V/10VA","1"
"T3","Triad_VPP16-310","1"
"T4","9V/10VA","1"
"U1","TSOP312xx","1"
"U2,U3","74AC573","2"
"U4","Pico","1"
"U5,U13","ADuM1250","2"
"U6","IL715E","1"
"U7","TDR 2-2422","1"
"U8,U9,U10","lt3042_breakout","3"
"U11,U12","LT1084-ADJ","2"
"U14","TPS7A39","1"
